"IR4U-6","dxc.aricesena.it","8000","DX Spider"
"IR4X-6","iq4bq.dyndns.org","8000","DX Spider"
"IR5PWJ-6","radio-linux.isti.cnr.it","8000","DX Spider"
"IR5V","iq5ba.it","8000","DX Spider"
"IR8AW-2","ir8aw.dyndns.org","7373","AR-Cluster"
"IR8AW-6","ir8aw.dyndns.org","9000","DX Spider"
"IR8AW-8","ir8aw.dyndns.org","7300","AR-Cluster"
"IR9ESI","ir9esi.dyndns.org","7373","DX Spider"
"IS0GRB-6","is0grb.it","41112","DX Spider"
"IT9FTP-6","it9ftp.ydns.eu","7300","DX Spider"
"IT9LIZ","217.182.156.145","7300","DX Spider"
"IT9LIZ-2","217.182.156.144","7300","DX Spider"
"IT9OBK-6","it9obk.org","41112","DX Spider"
"IT9WDY-6","it9wdy-6.dyndns.org","41112","DX Spider"
"IU1BOW-2","dxcluster.iu1bow.it","7300","DX Spider"
"IU1OLU-5","94.177.164.128","8000","DX Spider"
"IU3CYV-7","cluster.iu3cyv.eu","7300","DX Spider"
"IV3BVK-5","79.21.238.186","9000","DX Spider"
"IV3JDV-6","44.31.102.132","7300","DX Spider"
"IV3SCP-6","44.31.102.250","7300","DX Spider"
"IV3YXW-6","iv3yxw.dyndns.org","8000","DX Spider"
"IW0ERQ-6","iw0erq.dyndns.org","9000","DX Spider"
"IW0QMN-6","44.3.118.196","7300","DX Spider"
"IW0QNL-6","iw0qnlserver.ns0.it","9002","AR-Cluster"
"IW1PSC-6","iw1psc-6.ddns.net","8000","DX Spider"
"IW1QLH-6","cluster.hrdlog.net","7300","DX Spider"
"IW1QLH-7","cluster.hrdlog.net","7373","AR-Cluster"
"IW2EVH-2","danilo.selfip.info","7300","DX Spider"
"IW2EVH-6","1972.dyndns.tv","7300","DX Spider"
"IW2KPL-6","www.dxcluster.world","23","DX Spider"
"IW2NOO-1","0.0.0.0","0","CC Cluster"
"IW2NOY-2","iw2noy.ddns.net","7300","DX Spider"
"IW3FVZ-6","dx.iw3fvz.it","8000","DX Spider"
"IW5ECF-6","ham.homelinux.org","8000","DX Spider"
"IW8PGT-9","spider.iw8pgt.org","8500","DX Spider"
"IW9EDP-6","it9ijy.duckdns.org","7300","DX Spider"
"IW9FDD-6","iw9fdd.homeip.net","7300","DX Spider"
"IW9FRA-6","dxspider.iw9fra.com","7300","DX Spider"
"IW9GTD-6","clx.iw9gtd.it","7300","DX Spider"
"IW9HHF-8","82.61.113.156","7300","DX Spider"
"IZ0AWG-6","iz0awg.it","7300","DX Spider"
"IZ0EVK-6","iz0evk.eu","7300","DX Spider"
"IZ0FKE","clx.noantri.org","23","DX Spider"
"IZ0FKE-10","dxc.noantri.org","23","AR-Cluster"
"IZ0FKE-6","spider.noantri.org","7000","DX Spider"
"IZ0ORT","iz0ort.ddns.net","8500","AR-Cluster"
"IZ0ORT-6","iz0ort.ddns.net","9000","DX Spider"
"IZ0TWS-2","dxcluster.iz0tws.com","7300","DX Spider"
"IZ0UIN-6","iz0uin.remoteip.org","7300","DX Spider"
"IZ1CQN-6","dx.iz1cqn.it","8000","AR-Cluster"
"IZ2LSC-99","pota-cluster.iz2lsc.eu","7373","DX Spider"
"IZ3LCJ-6","iz3lcj.dyndns.info","8000","DX Spider"
"IZ3LSV-6","81.174.3.170","8000","DX Spider"
"IZ3MEZ-15","5.180.168.209","23","DX Spider"
"IZ3MEZ-8","cluster.iz3mez.it","8000","DX Spider"
"IZ4GJJ-6","Iz4gjj.ns0.it","7300","DX Spider"
"IZ5IIN-6","31.185.17.208","8000","DX Spider"
"IZ5ILU-6","iz5ilu.ns0.it","7300","DX Spider"
